Time,Day_of_week,Age_band_of_driver,Drivers_gender,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Casualty_gender,Age_band_of_casualty,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
19:12:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Employee,Normal,Not a Pedestrian,Other,Slight Injury
11:38:00,Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Taxi,Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,31-50,Other,Normal,Not a Pedestrian,Other,Slight Injury
11:38:00,Saturday,18-30,Female,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,18-30,Employee,Normal,Not a Pedestrian,Overtaking,Slight Injury
12:39:00,Tuesday,18-30,Female,Junior high school,Employee,Above 10yr,Automobile,Governmental,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Out of junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:30:00,Friday,31-50,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,1-2yr,No defect,Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
16:55:00,Sunday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Organization,Above 10yr,,Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
18:25:00,Monday,Unknown,Female,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,Self-employed,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
13:45:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury
13:45:00,Wednesday,31-50,Male,Elementary school,Other,5-10yr,Public (12 seats),Owner,1-2yr,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Female,31-50,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
15:50:00,Monday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
15:50:00,Monday,18-30,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
9:45:00,Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Unknown,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,+,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
20:50:00,Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,,Church areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
15:25:00,Monday,31-50,Female,Junior high school,Employee,Above 10yr,Other,Owner,Below 1yr,,Church areas,Undivided Two way,Tangent road with flat terrain,+,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury
20:00:00,Monday,Over 51,Male,Elementary school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury
17:54:00,Friday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,,Church areas,Other,Tangent road with flat terrain,+,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
17:00:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,No defect,Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
1:15:00,Saturday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,+,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
15:52:00,Friday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,,,Other,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,Over 51,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
8:59:00,Monday,Under 18,Female,Elementary school,Employee,5-10yr,Pick up upto 10Q,Governmental,2-5yrs,,Other,Other,Tangent road with flat terrain,+,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
8:59:00,Monday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,+,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Self-employed,Normal,Not a Pedestrian,Turnover,Slight Injury
0:53:00,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,Driving to the left,Slight Injury
15:20:00,Wednesday,31-50,Male,Elementary school,Owner,1-2yr,Stationwagen,Owner,2-5yrs,,Church areas,Other,Tangent road with flat terrain,+,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
18:23:00,Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,Over 51,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:15:00,Saturday,18-30,Female,Junior high school,Employee,5-10yr,Long lorry,Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,+,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
22:15:00,Friday,31-50,Male,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Below 1yr,,Other,Other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Reversing,na,na,na,Student,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
0:25:00,Sunday,18-30,Male,Illiterate,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
0:25:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,5-10yrs,7,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Overtaking,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
0:25:00,Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Bajaj,Owner,Unknown,7,Other,Other,Tangent road with flat terrain,Y,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,Over 51,Other,Normal,Not a Pedestrian,Overtaking,Slight Injury
0:10:00,Sunday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Governmental,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
15:20:00,Saturday,Unknown,Female,Elementary school,Employee,2-5yr,Lorry (11?40Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,Self-employed,Normal,Not a Pedestrian,Overtaking,Slight Injury
15:20:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Unknown,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
19:40:00,Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Organization,1-2yr,,Church areas,,Tangent road with flat terrain,+,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Under 18,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
19:08:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,1-2yr,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,+,Gravel roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,Driver,Normal,Unknown or other,Moving Backward,Slight Injury
17:40:00,Sunday,Over 51,Male,Junior high school,Owner,5-10yr,Other,Owner,Unknown,No defect,Industrial areas,Undivided Two way,Tangent road with mild grade and flat terrain,+,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21:55:00,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,,Other,Other,Tangent road with flat terrain,+,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
7:30:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,Church areas,Other,Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
7:30:00,Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
13:16:00,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Governmental,2-5yrs,,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:16:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,3,Going straight,na,na,na,Employee,Normal,Not a Pedestrian,Other,Slight Injury
16:20:00,Friday,Over 51,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
19:31:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,+,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
14:10:00,Wednesday,18-30,Male,Junior high school,Owner,2-5yr,Automobile,Owner,1-2yr,5,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
14:00:00,Friday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Over 51,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
22:05:00,Tuesday,Unknown,Female,Junior high school,Unknown,Below 1yr,Public (13?45 seats),Owner,1-2yr,No defect,Residential areas,Other,Steep grade downward with mountainous terrain,+,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,Driver,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
22:05:00,Tuesday,Over 51,Male,High school,Employee,1-2yr,Public (13?45 seats),Owner,1-2yr,No defect,Industrial areas,One way,Tangent road with flat terrain,+,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Over 51,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
7:00:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,1-2yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Moving Backward,Passenger,Female,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
7:35:00,Thursday,18-30,Male,High school,Employee,1-2yr,Automobile,Owner,1-2yr,No defect,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,Employee,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
7:35:00,Thursday,31-50,Female,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,7,Office areas,Other,Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
8:43:00,Wednesday,31-50,Male,High school,Employee,Above 10yr,Pick up upto 10Q,Owner,1-2yr,No defect,Outside Rural village areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Reversing,Passenger,Female,Over 51,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
9:25:00,Tuesday,Unknown,Female,Elementary school,Employee,5-10yr,Other,Owner,2-5yrs,No defect,Outside Rural village areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,+,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
9:25:00,Tuesday,Unknown,Female,Elementary school,Employee,1-2yr,Other,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,+,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
9:25:00,Tuesday,Unknown,Female,Junior high school,Employee,,Automobile,Owner,2-5yrs,No defect,Outside Rural village areas,Undivided Two way,Tangent road with mountainous terrain and,+,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
17:10:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
15:30:00,Saturday,Unknown,Female,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,31-50,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury
9:47:00,Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,,Other,Other,Tangent road with flat terrain,+,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
10:47:00,Thursday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Below 1yr,,Office areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Male,Under 18,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
15:00:00,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Long lorry,Owner,Unknown,,Other,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
18:40:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Governmental,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:20:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
16:20:00,Monday,18-30,Female,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with mild grade and flat terrain,Y,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
17:35:00,Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,+,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Over 51,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
15:47:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
16:05:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,,Other,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
16:05:00,Monday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
